,Topic,Count,Name,Representation,Representative_Docs
10,9,127,9_chinese_chinatown_rice_fried,"['chinese', 'chinatown', 'rice', 'fried', 'authentic', 'noodles', 'chicken', 'dishes', 'soup', 'kung']","['best chinese food far new orleans area located westbank great selection dishes ranging traditional chinese fare vietnamese dishes vegetarian options space looks like typical chinese restaurant warm inviting staff fairly friendly takeout dinein customers prices slightly higher usually pay chinese food comparable happiness enjoyed meal lunch specials good deal including pile shrimp fried rice crispy egg roll large serving entrees included glass iced tea spend typical lunch food meals thought worth price overall excellent selection good food choose friendly staff clean environment decent prices coming westbank establishment', 'best chinese food area note isnt great chinese food ones terrible love chinese food eaten times food order hit miss ive thought tasted bad okay time hot sour soup okay time really good think restaurants soup things ingredients pot actually measuring soup tastes little different time time couple times went chicken lo mein chicken chow mein time good ive dishes multiple times okay special want chinese food dont want drive minutes eat good prices decent', 'food amazing traditional chinese dishes basic chinese food delicious busy']"
11,10,112,10_prices_reasonable_price_portions,"['prices', 'reasonable', 'price', 'portions', 'food', 'service', 'good', 'great', 'decent', 'worth']","['good service food pretty good prices bad recommend place', 'huge portions friendly staff great prices food', 'place breakfast lunch food prepared fresh service great large portions reasonable prices']"
12,11,107,11_manager_rude_waitress_said,"['manager', 'rude', 'waitress', 'said', 'customer', 'asked', 'told', 'service', 'worst', 'horrible']","['food okay good quick bite eat okay food ruined service knew worked said owner got mad threw stuff thats professional came weeks ago little sisters favorite restaurant hostess new hire long blonde hair gauges nice waitress nice saw yell new employee hostess rude uncomfortable right near eating nice employees time went sisters waitress barely interacted interacted booth table near assuming look young assumed wouldnt tip paying customer ask came asked everybody left tip worked food service know tips mean waiters sucks waitress didnt deserve', 'disrespect staff showed group unfathomable party waited minutes table finally seated tried squeezing table suited midst long line customers waiting table horribly crowded peoples asses elbows face anyways service terrible seconds sitting prompted food orders waitress frustrated didnt know wanted eat right away told waitress need minutes response food takes minutes make asked okay come order walked away eventually come order later tried rush orders adequately answer questions menu food okay staff members constantly trying plates away food overall terrible vibe staff wanted bubble tea end meal want restaurant money owners staff members reading disgrace restaurant business hate', 'experienced worst service trying visit waitress extremely rude moment sat friend asked seasonal brews menu states ask seasonal brews got real snarky rude saying doesnt know thats shouldnt friend tried order iced tea meal make comment long island ice tea real ice tea make taste differently wanted tea meal ordering friends asked drink stared wrote drink walked checked make sure ok stopped make rude comments boyfriend medical emergency trying leave disturb hurried waitress waited helped customer ran screaming face tried dine dash paying left sight got receipt looking waitress thought right face ask looking tipped card friends far worst service experienced family long time customers honky tonk central dont believe return']"
13,12,103,12_italian_italy_pasta_spaghetti,"['italian', 'italy', 'pasta', 'spaghetti', 'sauce', 'delicious', 'restaurant', 'ravioli', 'alfredo', 'gelato']","['tried carry time tonight fettuccini carbonara outstanding italian egg drop soup interestingly tasty italian wedding soup roasted garlic oil great place save gas time longer city authentic italian', 'authentic italian spot def servers learn basic italian work cousin wife travel italy say closest italian food eating italy', 'best italian places italian family usually high expectations italian food place met requirements highly recommend trying constantly changing specials menu']"
14,13,92,13_tacos_taco_pastor_tortillas,"['tacos', 'taco', 'pastor', 'tortillas', 'delicious', 'al', 'salsa', 'asada', 'carne', 'tasty']","['concept restaurant pretty simple tacos fresh order cheap tacos pretty good good place warm sit deck enjoy tacos beer inside ok think outside better tried couple fish tacos good mayonnaise didnt request dont putting mayo mexican food second time happened week', 'fan tacos place really good home tacos make tortillas right fresh personally recommend tacos al pastor im fan pork tacos amazing', 'taco tuesday past tuesday point mahi tacos plus loaded nachos start mixture fish shrimp tacos time food came food hot fresh white sauce fish tacos perfect wait']"
15,14,88,14_vegan_vegetarian_options_seitan,"['vegan', 'vegetarian', 'options', 'seitan', 'food', 'whopper', 'tofu', 'meat', 'veggie', 'eat']","['vegan pepperoni vegan parmesan nooch left desired price high aside vegan sausage especially crust amazing', 'place awesome vegan food cheap drinks better vegan cheesesteak amazing vegan mozzarella sticks pass pitchers cheap nonvegan boyfriend happy definitely coming time im town', 'place deserves allll stars im vegan finding restaurants accommodate dietary needs hard union block showing great steps make vegan options accessible boise dinner options vegan reasonably priced normal items make vegan expect pay time ordered pepperoni flat bread vegan style say delicious understatement best pizza ive dont know garlicky crust creamy dairy free cheese use new spot im craving pizza thats specialty mention huge portion usually flatbread means tiny square crust dough damn loaf restaurant interior restaurant trendy plenty tvs game watching wait']"
16,15,86,15_mexican_salsa_food_burrito,"['mexican', 'salsa', 'food', 'burrito', 'guacamole', 'chips', 'mole', 'tortillas', 'authentic', 'tacos']","['los agaves ruined mexican really hear mexican food mexican food compared dont think mexican visit los agaves good basically im going disappointed food fresh flavorful wasnt greasy rice beans flavorful addicting mean way different mexican restaurant youve ceviche good perfect lime cilantro husband loved agave enchiladas house salad amazingfresh mixed greens iceberg fruit delicious sweeter dressing sample crispy taco enchilada roja fish taco tried fresh salsas items kick notch wowza good watch salsa habanero pretty spicy complaint didnt offer wheelbarrow roll sheesh', 'wow fantastic food wonderful service enchiladas supreme great adobo sauce guacamole fantastic make great salsa homemade chips place absolute gem lived texas years ago honestly say best mexican food moved state years ago average mexican food cut wish bottled salsa worth trip really attentive service mexican restaurants location really hope stay miss place yum', 'far best mexican places craving mexican food place']"
17,16,86,16_thai_pad_curry_noodles,"['thai', 'pad', 'curry', 'noodles', 'soup', 'panang', 'tom', 'best', 'food', 'asian']","['excellent red green parang curry place authentic thai pad thai great soups love food fresh delicious complaint atmosphere use improvement service hot miss busy dont servers best thai', 'really really good thai iced tea mediocre pad thai better local places pad thai grade curve comes nashville', 'best thai area fast tasty assortment food try recommend green curry pad thai pineapple chicken']"
18,17,80,17_husband_anniversary_dinner_wife,"['husband', 'anniversary', 'dinner', 'wife', 'loved', 'valentines', 'delicious', 'meal', 'evening', 'amazing']","['husband dinner taste monday night allday happy hour classic drinks day drinks husband got ramos gin fizz got southside loved start got fried cheese curds awesome small plates meal ordered gnudi favorite item night favorites time husband hates mushrooms enjoyed day ordered roasted carrot dish think cumin yogurt sauce wasnt really expected wasnt bad wouldnt order given delicious items menu desert goat cheese cheesecake blueberries sprinkle salt pepper personally loved uniqueness sweetsavory combination youre husband care black pepper cheesecake meant server great super friendly answered questions gave recommendations highly recommend restaurant definitely', 'simply excellent time celebrating anniversary sat outside facing park nice bread basket exceptional west coast oysters good husband ravioli loved apps meal special day prime rib outrageous cooked perfectly melted mouth husband burger happy surprised tiny macarons candle plate said happy anniversary ambiance service food stellar place', 'rating youre looking excellent experience celebrate wedding anniversary come capital grille customer service notch restaurant staff evening wished happy anniversary table decorated received nice anniversary card rose waiter garrick amazing took time discuss menu wine cocktail list let know favorite recommendations menu time restaurant ordered delicious end meal pleasantly surprised complimentary anniversary dessert platter thank capital grille making anniversary moment remember bragging service future']"
19,18,74,18_nashville_best_music_hattie,"['nashville', 'best', 'music', 'hattie', 'live', 'great', 'chicken', 'place', 'bs', 'bar']","['grilled cheeseburger best burgers nashville', 'town visiting family weekend stopped drinks dessert place busy packed like places nashville really surprised place real gem ambiance decor warm welcoming place sit hours chill staff friendly knowledgeable menu bar manager server rico helped pick cocktails based likesdislikes pleased drinks definitely come time im nashville', 'hands best steakhouse nashville excited eddie vs nashville debut ive dined locations consistently great service visits birthday exceptional arrived minutes reservation decided grab drink bar bar lively perfect quick chat bartender escorted table main dining room located second level accessed stairs elevator ok lets business heres want know scene upscale trendy live music bar good groups couples service exceptional new standard nashville want right time dont quarms making right food notable faves crab fried rice sea bass brussels request lightly chard bananas foster lobster mash potatoes burrata beet salad cost parking valet suggest taking uber tip best bday dessert']"
20,19,73,19_order_called_delivery_online,"['order', 'called', 'delivery', 'online', 'told', 'pizza', 'customer', 'minutes', 'phone', 'driver']","['ordered pizza hours ago prepaid online pizza arrived told delivery time hour hour called told pizza delivery arrive matter minutes didnt realize meant minutes ridiculous ordered online pregnant small child raining pizza hut center located different state told half paid refunded card courtesy worst food delivery experience matter times request transferred speak local store know food unable reach locally whats taking long certainly wouldnt upset able speak customer service rep store whats going received management inform order arrive extremely late stopping store tomorrow speak really disappointed lack customer service like note imagine food fresh hours ordered isnt option stars time wish', 'begin ordered online told order expected delivered certain time delivery driver left order fine tracker online minutes goes finally happening order placed hold gotten finally order came order cold horrible went online request money tend loyal customer long time establishment request forwarded owner business got ashley told repeatedly wanted writing called times repeatedly finally time told writing way communicate told shut multiple times told fuck return company treated horribly needs lose job im sure shes gotten away acting like want better pizza better price order food chicago itll long house fly class', 'placed order online arrived stated time called location told processing orders told tell order delivered maybe good customer service called order explained delay update contacted management apologized corrected service received understand process online ordering probably orders']"
21,20,71,20_tampa_best_place_brazil,"['tampa', 'best', 'place', 'brazil', 'food', 'great', 'seafood', 'amazing', 'downtown', 'authentic']","['omg best mexican food tampa hands wife lived tampa years missing amazing restaurant try tacosun years agostuuuuupid nachos supreme beef tacos carnitas pork tastes like pork roast beef like flavorfully roasted cut beef loaded mountain cheese fresh chips amazing ingredients load place soon experience best tampa mexican food', 'hands best places tampa authentic food good chains tampa mom pop shops places need true good food ahead visit wont regret', 'brunch food good friendly service fun atmosphere come time tampa']"
22,21,71,21_tucson_place_owner_breakfast,"['tucson', 'place', 'owner', 'breakfast', 'service', 'staff', 'food', 'years', 'time', 'bacon']","['hottest spots tucson decor food drink service great night tucson week tried lunch good came night diner food amazing service great diner way bar explored massive tequila selection saw carried favorite tequila casamigos tucson defiantly stop tucson', 'great food best tucson new favorite sushi restaurant service quick friendly', 'best italian tucson']"
23,22,70,22_location_staff_great_friendly,"['location', 'staff', 'great', 'friendly', 'place', 'food', 'excellent', 'recommend', 'service', 'good']","['certainly isnt extensive publix area staff friendly products stocked great location stop way home work need pick things wouldnt recommend big shopping trip need specific items', 'beautiful location interesting decor food good little salty taste overall food wasnt bad wasnt amazing server super nice helpful im happy got try place recommend coming experience', 'nice small restaurant excellent food excellent service friendly staff great location addicting']"
24,23,61,23_indian_naan_masala_tikka,"['indian', 'naan', 'masala', 'tikka', 'tandoori', 'samosas', 'paneer', 'chicken', 'curry', 'goat']","['goto anytime craving indian drive past indian options house india know food delicious service great husband daughter picky eaters introduced indian cuisine staff great helping figure theyd like favorite appetizer fried okra seriously good veggie samosas delicious naan straight tandoori oven excellent tandoori chicken lots vegetarian options vegetarian house highly recommend', 'best indian bucks county love paneer tikka masala chili naan amazing order heat menu huge everybody vegan options highly recommend restaurant', 'love naan stop going years quick easy delicious indian food people work really nice word warning love spicy indian food wont naan stop love indian food really spicy deal mild tasty like naan stop']"
25,24,58,24_bbq_ribs_pulled_sides,"['bbq', 'ribs', 'pulled', 'sides', 'beans', 'pork', 'brisket', 'best', 'sauce', 'rack']","['omg say place best bbq ribs love ribs ordered rack fries slaw fam ordered pulled pork sandwich smoked green beans baked beans mac cheese dont usually order ribs dry oh yummy talk fall bone nice tender mild hot bbq nice tangy hot really hot good slaw fries good die smoked green beans good mac cheese yummy creamy fam said pulled pork sandwich best pack meat nice tender dont forget pork rind omg best ive definitely recommend place come', 'really cool place really good bbq think actually like sides better bbq bbq place usually sides afterthought downright terrible loved baked beans dont know missed werent sweet fact buried sugar food balanced maybe rub ribs loved potato salad perfect red potatoes skin bit mustard terrific ordered meat plate got double ribs pulled pork fine ribs good cooked nice cut good fat theyre rich fine rub heavy little salty awhile pulled pork tender juicy fatty sure really rich bbq really liked sauces sweet plenty spice tang bbq isnt spicy want habanero sauce passed come try chicken sausage ill really come sides', 'best bbq ive philly love ribs beans']"
26,25,55,25_sandwiches_sandwich_turkey_reuben,"['sandwiches', 'sandwich', 'turkey', 'reuben', 'bread', 'best', 'great', 'jakes', 'ive', 'amazing']","['really good sandwiches try signature pickles swiss little different tried different sandwiches consistently delicious little expensive worth', 'wouldnt main line johns best sandwiches area fresh cut deli meats use really great bread sandwiches pork sandwich sharp provolone die locations chain tell way treat customers family run business cares serving quality foods', 'ive best sandwiches life favorite sandwich jakes barnyard sandwich brisket sandwiches extremely good mensch cheesesteak omg fries fantastic jakes make sandwich days mondays clean friendly']"
27,26,47,26_reservation_reservations_minutes_told,"['reservation', 'reservations', 'minutes', 'told', 'asked', 'table', 'seated', 'people', 'waiting', 'tables']","['second time rooster times ordered rooster slinger wonderful reason got stars food time went service ok typical slow service service horrible ate friday told sit wait min party decided menus brought menus person server finally brought water longer server came took drink order min cam everyones drink beernot bar item ordered waiting additional min server came inform beer ordered cold offered glass ice really instead ordered beer time came water gone table asked little waiter left water came food asked water server disappeared half way meal able flag finally water eating quick bring check check tip steps table like said food great service worst long time', 'im pretty disappointed reservation desert arrived wait minutes seated people waiting asked hostess defensive saying control order seating come served upsetting mewhat point reservation said didnt control reservations sorry realize wasnt directly fault arent going honor reservations shouldnt accept restaurants come servedbut dont accept reservations commented nicely min past reservation min leaving immediate response guess table ready sat increased blood pressure dramatically didnt tweens heart set left seated pleasure assisted server named scott really praise outstanding bantered kids great time enjoyed desert left happy im happy ignoring reservation scott redeems', 'seated food delicious server pleasant accommodating stars service food giving stars reservations special occasions needs lot work mothers day reservations people arrived saw mass people standing inside vestibule way gave told soon mothers day lot older ladies gentlemen standing chair entire waiting area finally called minutes reservation ask older people stand minutes lunch absolutely ridiculous dont understand cram reservations time tables day know tables know approximately time takes people eat typical day busy right dont understand mothers day decided honor reservations knew handle time sat tired disappointed food good doubt occasion think handle crowd']"
28,27,46,27_dirty_filthy_wash_eat,"['dirty', 'filthy', 'wash', 'eat', 'disgusting', 'bathroom', 'smell', 'walked', 'food', 'nasty']","['wifey yr old dont chilis anymore sat bar area dirty table surrounded dirty tables busy come table section dirty yup table didnt really cleaned barely wiped dry towel wow ordered smoke house combo got kinda like way end story like chilis figured times weve come experience sucked service food ill applebees chilis', 'really really bad dirty dishes nearly table group sat cleanest table greeted server said wow table dirty menus walked away waited minutes observed cleaning dirty dishes bartenders talked bar spent years restaurant bar business dont know owner manager allows happen clear tip extremely patientnever written bad review yelp plain lazy inexcusable', 'weve coming years kids superfans video games kid oriented food place beginning wear stopped past weekend right opening arrived house promptly seated sat surprised restaurant dirty table sticky chairs crumbs floor littered food paper kids high chair sticky crumbs told waitress came dirty wet rag wiped table thanks better cleaning food mess sopping wet bacteriafest mention dirty chairs high chair floor explain place dirty right opening didnt clean night morning bathrooms problematic mens bathroom particular revolting unflushed business toilets smell abomination paper towel machine wife reported baby changing station womens bathroom dirty wtf going im sure place disgusting minutes opened seriously good sign food average begin coupled filth dont great model long term success star red robin act guys']"
29,28,45,28_vietnamese_pho_saigon_broth,"['vietnamese', 'pho', 'saigon', 'broth', 'bay', 'rolls', 'spring', 'restaurants', 'dishes', 'noodle']","['favorite vietnamese restaurant area tried favorite veggie pho beef broth hubby gets pho ga yum', 'way better saigon deli vietnamese order great pho sandwich years old son loves sandwich pho beefsoup best better vietnamese restaurant area', 'nice modern vietnamese restaurant located central west end ill admit hesitant dining experience upscale location vietnamese diners restaurant pleasantly surprised expecting holeinthewall authentic vietnamese food needed vietnamese restaurant close proximity chafeitz arena approx mins away little saigon café satisfied craving vietnamese food thing bành mi vietnamese sandwiches ordered cha saigòn fried spring rolls goi nuong fresh spring rolls cà ri gà curry chicken ph vietnamese noodle soup pho beautifully infused star anise love make pho yellow curry chicken delicious reminded mothers vietnamese cooking stop happy hour drink specials mondaysaturday']"
30,29,44,29_menu_good_nice_experiences,"['menu', 'good', 'nice', 'experiences', 'like', 'week', 'salad', 'dinner', 'went', 'steak']","['waiting try double knot time disappoint drink recommendations food service experience stars hostess stand like welloiled machine ended waiting table dining lingerers checked times offering help drinks option sit chefs counter seated comped couple apps help nice touch felt handled wait tactfully said thoroughly enjoy cheese curds yum yum sauce went recommended chefs menu pick items enjoyed dish starts small plates ramps quickly time entrees unless pace kept thinking plates stop coming didnt got bigger sommelier recommended bottle pinor noir rose complimented hearty parts meal nicely finished meal perfectly frozen mochi sever knowledgable menu helpful making sure table cleared quickly drink glasses downstairs atmosphere intimate feel exclusive experience', 'went night havent awhile overall look place enjoy laid place good feel restaurant crowded loud really enjoyed new menu liked drinks food menu lot easier order drinks ordered widlberry lemonade alcohol included amazing good easily friend got guacamole app really good im usually pretty picky comes guacamole got steak dinner okay really great really bad steak got mashed potatoes looks like threw microwave served overall wouldnt say great wasnt bad worth return', 'isc stop overall good place great parking huge u city building garage doorwall opened weather nice outdoor seating evening able accommodate came restaurant wasnt sure make initially thought pizza place actually rustic style italian themed restaurant loft like feel bar flat screen tvs satisfy sports fan specials evening lobster risotto short ribs trout dish started beet salad cauliflower soup wonderful actually beets salad catcher fried goat cheese added perfect savory touch cauliflower soup smooth hit spot rainy cold night ordered short ribs resist short ribs overall tender parts little tough bad good red wine taste served bed garlic mashed potatoes handful asparagus overall nice restaurant good variety food pasta pizza regret didnt room dessert great choice isc sarah']"
31,30,44,30_husband_wife_ordered_asked,"['husband', 'wife', 'ordered', 'asked', 'steak', 'shrimp', 'didnt', 'sat', 'wanted', 'went']","['nice dinner mockingbird sunday night restaurant wasnt busy sat outside restaurant beautiful service attentive cocktails rum jen juice gin ceviche ahi tuna comes avocado brown sauce crispy tortilla pork belly juicy fatty house fries roast duck breast grilled peaches barley pork belly easily best thing night didnt portion size small definitely ordered little bit duck came little protein lot barley happier ratio reversed overall happy meal paid minutes realized husband didnt credit card ole smokey distillery minutes away came mockingbird lunch hours day talked host called manager waited downstairs manager waited upstairs manager place wasnt busy treated like werent extremely awkward upstairs manager didnt acknowledge presence didnt bother ask sat server seeing werent interested helping left promptly canceled credit card chase good pork belly', 'havent years poor service food good customer years bad service years husband wanted try seat table closest tv bar seats party place steady tables older lady came gave menu asked party said said looked room table face good way start bus person european accent continue bring salsa chips good job salsa good salsa isnt chunky slight spice ordered good folks steak enchilada ready price big steak good cheese enchilada good beans cheese normal husband ordered cheese enchilada ground beef taco enjoyed thosehe commented times steak good think ordering shrimp enchilada market price shrimp cocktail market price didnt order mexican restaurant market price seafood good meal ok service', 'husband friend went bynums steakhouse dinner friday evening greeted warmly sat immediately waiter took drink orders ordered ice tea extra ice fyi ice freak lol friend wanted alcoholic beverage wasnt sure wanted waiter asked kind drinks liked friend told waiter drinks liked waiter told make drink thought friend like waiter returned drinks actually mini pitcher ice drink friend delicious french onion soup hot lot cheese bread warm salads lacking bit croutons cheese ordered appetizers boom boom shrimp shrimp cocktail shrimp cocktail awesome shrimp cocktail sauce die boom boom shrimp overcooked ordered rib eye melt mouth large share husband friend ordered new york strip cooked perfection baked potato undercooked room dessert def waiter forever bring check pick card']"
32,31,41,31_margaritas_margarita_tacos_mexican,"['margaritas', 'margarita', 'tacos', 'mexican', 'taco', 'great', 'food', 'guacamole', 'salsa', 'best']","['best mexican food n town love food margaritas bomb hospitality great', 'favorite nachos margaritas green lemon taco tuesday tacos day nachos hot crunchy melted cheese best flavor guac fresh choose options bowls tacos nachos like frozen margaritas lot think best ive tried tampa margaritas super frozen cold amazing order margaritas rocks like', 'best mexican food cadillac margaritas reno suggest la loma chicken tacos chili rellano owners actually make margaritas wait like family']"
