review_id,stars,text,Food Quality,Customer Service,Place,Menu_and_Pricing,Drinks,Time
z-14GxxTZLAmaU-mfOybiw,5,My in-laws recommended this place.  Ordered cheese pizza and wings. Great local hidden gem. Also ordered the supreme pizza (loaded with meats) great pizza and wings if you have the itch for it.,1.0,0.0,1.0,0.0,0.0,0.0
AkUs11Ez0dqK93oNCx4_Vg,5,"I ordered through a delivery app and woooow 10/10. The brisket was deliciously seasoned and absolutely perfect. 
The baked beans were insane (in the best way). 
And the cornbread?!? Sweet and buttery just how cornbread should be.",1.0,0.0,0.0,0.0,0.0,0.0
NZYf0k5JAWjSzgf3_KMFKg,5,Great burger with gluten free bun. The outdoor seating under the trees was lovely. The service was fantastic.,1.0,1.0,1.0,0.0,0.0,0.0
QUKLQ0yl1o2ZIbf3Qf5ZLA,2,"We've been here a few times and always the same experience.   Service is painfully slow, servers seem disinterested in making sure customers are well taken care of, and the  kitchen always messes up at least one of our orders.  We want to enjoy eating here, but it's just too much work to track down the wait staff and ask for refills on drinks and order corrections.  Today,we had several mistakes (wrong meal, burnt english muffin, empty drinks) the manager told us she 'took care' of our bill and we were expecting a discount.  However, she only took off the extra meal they tried to charge us for.  I think we are done wi th this restaurant.",0.0,-1.0,0.0,-1.0,-1.0,-1.0
ZgyTC_-XmE9jrQp9Fr2OwQ,1,Wow.  I should of read the reviews and took the advice.  This was honestly some of the worst Chinese food I have had in a long time.  All of the food had a funny taste.  The hot and sour was okay but something didn't seem right.  The fresh shrimp seemed to be like a soapy taste.  I hate to condem a family restaurant but this has a lot to improve on,-1.0,0.0,1.0,-1.0,0.0,0.0
MsNML1ehqrj0KlYVVQJLjA,3,"If you're in the mood for a large, greasy sandwich or diner type food then this is your place! They have a great selection of sandwiches and salads. It's a little shack with picnic and rusty metal tables outside. I ordered the Italian beef sandwich and the portion was huge! I loved the basil Mayo on the club sandwich. Very nice employees at the counter!",1.0,1.0,1.0,1.0,0.0,0.0
_8t-ae_MtlPcbA23ZtKAmw,5,"Extra points for the rebate we got when the manager realized the cashier-in-training hadn't given us the two for $17 discount.  Menu offers made to order salads, sandwiches, paninis and pizza with limited beer and wine selections.  Fast service and the salad was delicious-no stale, been sitting around all day veggies.  And the Rosemary focaccia was pretty good too.",1.0,1.0,1.0,1.0,1.0,1.0
nptNOQn0KkjbXR-IAIFqUA,5,"Everything made to order, bread is always fresh, and fantastic lunch meats. Love the roast beef on a toasted roll. Small sandwich shop, decent amount of seating, they also deliver. Lunch is always entertaining here! :)",1.0,1.0,1.0,0.0,0.0,0.0
acD88yFRkNDfDrJrsxLiKQ,4,A group of us went there and i had a the Cava Cosmo which was good. For dinner i had the Grilled Cheese sandwich and added brisket. It was awesome! The homemade chips were yummy but i would have liked some type of aioli or dipping sauce. I tried the charred carrots and i really liked those too. Everyone food looked good!,1.0,0.0,1.0,1.0,1.0,0.0
5WFE_2U57tQZdETuIKh0jw,5,"I'm so glad Westy's is back! And it's better than ever. Some of the coldest beers you could ask for and service is always impeccable. Never see staff maskless, always cleaning, washing hands. I noticed they're even using disposable cups and boxes for the food. Let me say the food is out of this world. LK's Kitchen at Westy's has taken that bar to the next level. LK (large Ken) is so passionate about this establishment making it a fun and safe environment for everyone. Ken has stocked the place with some kick ass bands and entertainment. Large Ken knows what the people want and goes above and beyond to please us customers.",1.0,1.0,1.0,1.0,1.0,0.0
0Z8yn8oV6z9dpr8Ps87Tlg,3,First off I normally DONT write reviews for things unless they deserve it. This deserves it. Now listen. I've been getting five guys fries in locations around tampa and this particular location is THE ONLY LOCATION to give a large fry that is equivalent to a small fry. I'm so upset look if I pay $7 for some fries I BETTER GET 7 DOLLARS WORTH OF FRIES... Cmon man...,1.0,-1.0,0.0,-1.0,0.0,0.0
vSInN7xGCqydejYwZxUvMg,5,"They do offer tap water now, so disregard previous reviews that have said otherwise. I love Pho Bang because it truly reminds me of home cooking. The Vietnamese egg rolls are the ones with the rice paper wrapping (sticky) which I love. The pho is amazing. What is the best part about this restaurant is the prices. They're real. No fancy up charge just for better decor. I'd rather great food than fancy decor. The servers don't constantly ask you if you need anything because they know all you need is a drink and your food. You pay up front when you're done and it's as simple as that. It's good food without all of the unnecessary froth.",1.0,1.0,1.0,1.0,0.0,0.0
2WdbfR2zxJx2olwCVSYxAQ,5,"These falafels. Amazing options for vegetarians and vegans. A must stop of healthy eating while in the Big Easy. Reasonably priced, spacious, attentive service, and a cafeteria vibe (if you're into that sort of thing). Their deep fried cheese was the bombdiggity. How one deep fries cheese remains a delicious mystery to me.",1.0,1.0,1.0,1.0,0.0,0.0
bprumZaRzvwcrLm-Tt047w,5,"This is one of our all time favorite brunch spots. We travel a lot and it's hard to find quality brunch that takes breakfast up a level from the standard eggs and bacon. We used to drive all the way to St. Pete for Metro diner and was ecstatic when one opened up right on Kennedy. 

They are consistently good, and the food is the same at both locations. Service is always EXCELLENT.

We come here so much and bring all of our guests that visit from out of town here. Our NY family and friend foodies love this place. We tried almost the entire menu but the highlights for us are:

-You MUST try the FRIED CHICKEN & WAFFLES here. I normally think it's too much but it's one of the best fried chicken dishes I've had.

-The corn beef hash is made from scratch. YUM

-Chicken biscuit

-Crab cake Benedict (Really good. Southern flavor and you can actually taste the crab)

-Fish and chips - Delish and I normally don't like fried fish filet.

-The omelets

-Almost everything on the menu is good to excellent. Maybe only the burger is okay. 

I met a few of the owners when they opened up and even though there are several Metro Diners in the US, one owner explained how they pride themselves on not becoming like how ""chains"" normally fail with food and service. If I didn't talk to him, I would have never known they had so many locations because the breakfast/brunch there is always excellent. We will continue to be regulars here.",1.0,1.0,1.0,1.0,1.0,0.0
puTQRlix46spZmKJfpU9ig,4,"I have no beef with Jimmy John's. I only order two of their sandwich variations. They do not screw them up. The food is ready in a hurry. I am in and outta there in no time at all. My belly is full and I'm happy. 

I always get the Vito with Mayo or the Italian Night Club. They're pretty much the same sandwich. 

The old bread is a pretty good deal. I bring it home to make French bread pizzas.",1.0,1.0,1.0,0.0,0.0,1.0
ukxUwHYrgZaX869LUvFzhg,5,"This is my favorite restaurant when I come to Clearwater. It is owned and run by a Greek family and most of the people working there are extended family members. The menu has a number of authentic Greek dishes that they make on-site. Their Greek deserts are varied and quite delicious. The restaurant itself is very basic, almost like a beach restaurant. The atmosphere is casual and relaxed.

Today I had the gyro platter, one of my favorites. The gyro meat was spicy and moist like it should be. It's dry from hours of cooking in too many Greek restaurants. The Greek salad is probably the best in the area. I could live on their Greek salad alone for a week. The pita bread is very fresh. I also love their dolmades which are stuffed grape leaves with a lemon sauce. The souvlaki is excellent and I order that sometimes. Really you can't go wrong with anything here.",1.0,1.0,1.0,1.0,0.0,0.0
6UbLQs2nWA87qAqQGl-UcQ,5,"The best of the best! I come from New York and visit Philly a lot. I've tried different cheesesteaks around Philly and can't seem to stop myself from going to this location. The bread is amazing, the meat's perfectly seasoned, and the onions are a great touch. The workers are extremely friendly, especially the cashier and busboy. The busboy always gives a tray of napkins and condiments which is very sweet. This original location's not in the best area but this spot smokes everything. Authentic Philly cheesesteak; simple and no soggy bread!",1.0,1.0,0.0,1.0,0.0,0.0
HRkbiPXbXE16ZNUTso7ojg,1,"Associate at register was disengaged and distracted.  Had to order food again after first order was incomplete.  Took about 20 min, even though there only three tables of customers.  The gentleman doing the bussing was hardworking and friendly.",-1.0,-1.0,1.0,0.0,0.0,-1.0
B9iLTF98qnO7tzrG3nlvaQ,1,"Can't rate the food , but would rate business zero based on ""security"" / door detail.  My 37 year old friend was turned away as her ID was in the hotel room (with no plans / intention of ordering alcohol-if they even have it?   I was then turned away for a ""bad attitude "" as I thought it was bogus they wouldn't let her or I  in to order a take away burger......guess we aren't the right color or sex

So Weird.  Other Bartenders in the area said food was decent, but 2 girls couldn't get past the angry door men.",0.0,-1.0,-1.0,0.0,0.0,0.0
R43hYlCVCG3HpIPUMJTcFw,3,great deals on beers. always a seat available. i just wish they had a better selection of beer. seems to be the same repeating stuff on the menu. pretty good service.,1.0,1.0,1.0,-1.0,0.0,0.0
RH7A3q-R2dGUxs8hPF-04A,1,I've never waited this long for a single crêpe. Not coming back for brunch anytime soon.,0.0,0.0,1.0,0.0,0.0,-1.0
PAmmkjYqG6FomjzmDjcgsQ,1,Man this place is straight GARBAGE!!! Stay away from this nasty buffet. Everything in there is nasty and all the proteins are dry as hell.,-1.0,-1.0,-1.0,-1.0,0.0,0.0
ZAii-MOuVjz9wUViEu3rmA,5,"Amazing! Little seating but worth the quick wait. We ordered a special plate- fried oysters, fried shrimp, fried catfish, bread and a side for $16!!! Such good food for a small price and very filling!",1.0,0.0,1.0,1.0,0.0,1.0
tOeL1bbm7egyq7BgOK0Nyw,5,"Went here for brunch on a whim after visiting the farmers market which is in the same building and I was not disappointed! The food was delicious and service was on point from start to finish. 

We got the Pimento Poutine and Beef hash. The portions were HUGE and the food was well seasoned. We've only lived in Broad Ripple for about 4 months, but we've been to many restaurants and Literhouse is by far the best brunch in the city! Yes, it's that good. They've even got a few vegan options that sounded (and looked) delicious. You've gotta make it here for brunch. You won't be disappointed.",1.0,1.0,1.0,1.0,0.0,0.0
3oFU-b5LwcqNacd8eaYovw,5,"Great tasting mediterranean food! 

The atmosphere is casual, and you order first before sitting down (sort of like Chipotle). 

The service is friendly, and the cashier walked us through the menu and was able to tell us the top few dishes which were popular. 

The portions are mostly lunch-sized but the food is reasonably priced so there is good value for what you're getting. Finally, the food is excellent (I got the Original Palestine with chicken). Moreover, the menu says the food is halal too!

Would definitely go back again",1.0,1.0,1.0,1.0,0.0,0.0
Do-L4hH1_5zTtFW2hIuMBQ,4,"If you were looking for a place to eat and you drove by El Sur, you would look at it and keep on driving-- and it would be a big mistake. It is the definition of a great dive restaurant. Nothing fancy, but excellent Mexican food and fast, friendly service. All the nachos and salsa you can eat, the best flan anywhere, and prices so cheap that you purposely overtip the hard-working servers. It's so full of D-M patrons during lunch that they opened another one only a mile away. Get there early, no matter what day you go. A real diamond in the rough.",1.0,1.0,1.0,1.0,0.0,0.0
3TDjuZz90D9u3Aku8MwDDg,2,"I had a chicken burrito enchilada style.  It came with chips on the side covered in cheesy goodness.  It was definitely enough to last two meals or feed a family of four.  Talk about major excess and if you can't stop yourself I wouldn't recommend it.  Not my hometown Mission food fare, but I was hungry.  And I asked for guacamole in my burrito and I was denied.",1.0,-1.0,0.0,1.0,0.0,0.0
t2ivlHnvU27DTtQvB9nrNg,5,"Just wanted to add, I normally used to go the restaurant located in Ybor City, but they opened a one closer to my home in Riverview, and we really enjoy that one since its away from all the crazy stuff that we be hearing about Ybor City.  Both restaurants are good, but we just enjoy the closer one because convenience and time.  Prices are the same, around or under $10 per plate.",0.0,0.0,1.0,0.0,0.0,1.0
-h0zN78ZKc0W4Ikb9HTydA,5,"I ordered a Friday lunch special which included a grilled Reuben sandwich, fries, and a medium-sized lemonade for only $7.99. The single portion was large enough to share for two people with smaller appetites!

The sandwich itself was absolutely mind-blowing; hands-down the most delicious Reuben I've ever had (trust me, I've tried a lot). Get extra napkins though, because the Russian dressing literally oozes out of the rye in the best way possible.

Fries were decent, but I was already pretty full from the sandwich and I could have gone without them. After looking around, I noticed that many people subbed the fries for either fried cheese curds or corn nuggets, which I plan on doing next time.

The lemonade was also delicious-the perfect balance of sweet and tart. I was expecting it to taste like your typical, artificial lemonade, but it had actual pulp. It tasted fresh without feeling like you just ate a lemon straight up.

Service was extremely friendly despite how busy it got and I never felt rushed.  Luckily, we came at around 1:30, so we got seats immediately, however, after 10 minutes it filled up quick. Even so, orders were flying out of the kitchen and no one had to wait long for their food. 

Dutch Eating Place is also surprisingly homey, despite the general bustle of Reading Terminal Market. It's located toward the back of the market at the 12th St and Arch St corner with U-shaped counters and barstools. You might be touching elbows during a rush, but I found it fun to chitchat with others sitting next to me.

Unfortunately, I didn't have time (nor room in my stomach) to order the apple dumpling, but I will definitely be coming back for that and another Reuben, of course!

I do wish that they used reusable cups for water and lemonade though!",1.0,1.0,1.0,1.0,1.0,-1.0
ffqt6x6cvzR4Owk_LNBStg,5,"For years I have said that Philip's is the best kept secret in Philadelphia. As of lately, it seems people are finally catching on, and there's a reason why.

Forget about the flash and pizzaz of Pat's or Geno's. Philips two ordering windows (one for sandwiches, one for sides and drinks), orange lights, and stainless steel counter are all you need. The cheesesteaks do the rest. Tasty greasy meat, fresh rolls, and real kraft cheez whiz. None of that fake ""cheese sauce"" stuff at this place! There's rarely a wait, they employees are nice, and they are open late. What more do you need in a cheesesteak joint? 

Bottom line, whether you're  new to the cheesesteak game, or a cheesesteak pro, check out Philips. They're the best in Philadelphia!",1.0,1.0,1.0,1.0,0.0,0.0
wMaTHdJYbsO7jsuZukqt1A,5,"Stopped in after a long day of kayaking on geist, was super hungry.  Our food was good,  but shout out to Josh (GM) from his new friends Lisa and Ellen for making it fun to be there.",1.0,1.0,1.0,1.0,0.0,0.0
vg8zlND_4KFc_eMKagOrew,5,Last night I was passing through Meridian and chose Louie's as it was near my hotel and had curbside pickup.  Wow!  Maybe the best Calzone I have ever had.  And great peanut butter pie.  Both were terrific.  Phone help was great.  Curbside pickup easy. Hope to be back in the area.,1.0,1.0,1.0,1.0,0.0,0.0
oBJ7Q4e_U6VS2cgA1M86DQ,1,"I've gone here for years. 
This time they had NO GUACAMOLE. 
Keep in mind this was 11am so they didn't run out. They never had.
The steak had zero flavor. 
There was no ice

They suck
I would have more enjoyed eating my foot.",-1.0,-1.0,0.0,0.0,0.0,0.0
J3xvUhD4ZRJNZqLNS4BgVg,5,"Best *authentic* Mexican taco spot around Tampa!!! Hand made tortillas just makes any taco! Everything tastes fresh. We had a chipotle chicken sope , amazing. Ribeye taco was so juicy and tender, pastor taco; full of flavor, campechano tacos where everything I want in life . 
The only downside was that there was not enough seating and no beer.. It's a simple hole in the wall place with enormous flavor coming out!  Definitely will return",1.0,1.0,-1.0,1.0,-1.0,0.0
vRFvps7zE7UUa_qyEWj9Ag,5,Very knowledgeable and friendly staff who were patient with our questions and offered up yummy advice for cheese and charcuterie options. Will certainly visit them again!,1.0,1.0,1.0,0.0,0.0,0.0
DkSTJSEJw4CRTQQn3iIWaw,4,"My parents have wanted to visit me since I moved to Philadelphia, but they kept dragging their heels when it came to setting a date. In the hopes of enticing them, I told them when Philly's Restaurant Week was and they agreed to choose a day during those two weeks and that I could pick the restaurant for lunch (YES!). Lacroix was at the top of my list of places to try when an opportunity arose, and so I made reservations for their Restaurant Week menu.

We arrived and were seated at a table where we could overlook Rittenhouse Square. We each ordered different appetizers: I got the mixed green salad (tasty, nothing TOO special), my mom had the caesar salad (THAT was good, and the presentation was pretty cool - gotta love the parmesan curled crisp), and my dad had the fennel soup (another win - but then again, he does love fennel). For our main course, both my mom and I had the Seafood Tajine (like a stew with a variety of seafood including scallops, white fish, mussels, clams over quinoa and dried apricots) which was really fantastic, I love the spices they used in the broth, and my dad had the mushroom risotto, which he finished before my mom and I had a chance to ask for a taste (therefore, it must be good - he usually offers us a bite). Dessert was a trio of petite fours: chocolate banana creme brulee (meh - I'm much more a fan of the simple vanilla), chocolate ganache cake (soooooo chocolately, all you need is that small bite), and fig tart (so cute, so delicious - my fav of the bunch). The food was great, the service was wonderful, and the view is fantastic. I'm so glad that I got a chance to dine at Lacroix thanks to Restaurant Week - and so are my parents! They loved it so much they requested we go back to try out their full menu :D",1.0,1.0,1.0,1.0,0.0,0.0
5WmBGNYi14_CBUCYcr3uSg,3,"Decent bar.  Their nachos are enormous, loaded and quite tasty with lots of jalepenos.  There is a surprisingly big beer selection here so you'll find the familiar Belgian beers and some other exotic ones.  I tried a bunch of other things on their menu which were pretty good but I didn't really like the vibe of the place.  It's pretty narrowly set up which makes mingling a bit tough (but maybe that was because I had come for an event and tons of people were there).  There's an upstairs area which is a lot bigger and the bartenders are really nice.",1.0,1.0,-1.0,1.0,1.0,0.0
TtqUIuvsM8mQkBVtZX5GGQ,4,"Why no love for Pietro's on Yelp??

I have been here twice and each time it delivered. This restaurant is very reasonably priced for being right in the heart of Rittenhouse, and the outdoor seating and indoor seating by the windows makes for the best atmosphere and best people watching spot in the city.

The first time I dined here we ordered a pizza-great thin crust, just like Italy and topped with fresh and tasty toppings. 
Yesterday, my mom and I wanted to have a quick lunch; we ordered the risotto ball suppli which was authentic. The red sauce it was topped with was great- as good as any Italian restaurant. Inside you could find cheese and meat which adds to the authenticity of the dish. We then had salads as our main- they were huge, hearty and the dressings were full of flavor.
The only reason why this is getting four stars instead of five is because for the same price, you can get a killer pizza at Nomad. This is great competition though.",1.0,1.0,1.0,1.0,0.0,0.0
wkf68-QkZJXJhir34qGqVA,2,"I was disappointed in the taste of the food. We ordered a half/half poy boy, one with oyster and stuffed crab and one with shrimp and stuffed crab. Both us were very disappointed with the stuffed crab half but the shrimp and the oysters were soo good. 

We also ordered a shrimp boil, and although I'm not from NOLA, I've been here enough times be disappointed by this book. Originally she brought us some shrimp in a pan and said it was cooked earlier today and had been sitting out, so it's at room temperature , and asked did we want her to drop it again. Of course we did, since we wanted hot shrimp. So after the 2nd time dropping it it was still ""room tempature"" so she had to drop it again. The 3rd time sh3 brought it back, it was steaming hot but now overcooked and was not tasteful at all. 

Ordered the Cajun potatoes and there was nothing Cajun or tasteful about that either. Char Grilled Oysters were also not good. 

Overall I would not be back, but if you do go. I recommend the raw oysters, gumbo, and fried oysters.",-1.0,-1.0,-1.0,-1.0,0.0,-1.0
TnI3QEBWvBPYxDE5ef4fiw,4,Food was interesting and different.  Really like d the oyster taco a lot.  Cocktails were fine.  The modern giant ice cube instead of liquor is kind of  annoying though.  Biggest problem is place is way TOO loud.  Could hardly have a conversation,1.0,0.0,-1.0,1.0,0.0,-1.0
fmgryWT2mJAXO4tmM0G1Ew,4,Excellent restaurant.  Lots of regulars and great service.  Had the chefs choice of tapa and they were so good!  Will go back if given the opportunity!,1.0,1.0,1.0,0.0,0.0,0.0
lrRGTeUbIJz2U9mtu8ThWw,5,"made it on a friday to see glen david andrews. i'd say he is a must see. got there at 730, he went on at 9. snagged a seat at the bar. bar was much better than a cramped table. good service. 

lamb sliders may have been up there with the best items we had the entire trip. bulgogi bowl was good but i woulnd't need to order that again. quail egg was nice to see on top of the bowl. fries were good but i should have ordered something more interesting. 

i could take down probably 9 of those sliders.",1.0,1.0,1.0,0.0,0.0,0.0
0C1rleW8MLTbrJDoeG962A,4,"Valentine dinner tonight at Basta Pasta Skippack was great but almost didn't happen! Our party of 4 entered the restaurant at 4:00!pm intentionally since we did not have a reservation . We were so early even the staff were still arriving. The hostess, a seasoned person, greeted our party of 4 asking if we had a reservation. We replied no (not concerned as there was no one in restaurant) she rolled her eyes and made us feel less than welcomed and refused our request to be seated in the restaurant. The only table available was on the chilly porch. Dinner was fine, service was perfect. One hour later... we were finished and to our surprise the restaurant was 1/3 full and the porch had 1 other couple. Sorry but the hostess still spoiled our dinner. She was just nasty.",0.0,-1.0,-1.0,0.0,0.0,-1.0
drGBjFWVp1lrKziQUfyIXg,1,This place has gone down hill. The service is exceptionally slow and not acceptable for a simple lunch. We were there for almost 45 minutes and still no food. This place used to be a good quick little ace for lunch and I think it is going down hill.,0.0,-1.0,1.0,-1.0,0.0,-1.0
WhjtIZzcCN6WGL2I7pWz-w,5,Amazing place! Great food great service! They have delivery which makes it even better! Can't go wrong with any option that is on the menu.,1.0,1.0,1.0,1.0,0.0,0.0
kli_q_cGrNRZwl6LDIbcIQ,5,"We are traveling from California and finding it almost impossible to buy healthy food along the way. We stumbled onto Meals From The Heart in New Orleans in the French Quarter Market Place and ordered a green salad with fresh shredded beets, avocado slices, broccoli pieces and cauliflower pieces, pumpkin seeds and homemade balsamic dressing. I ate the entire salad making yum yum noises the entire time! I can honestly say I have never had a better healthy salad than this one! 
This restaurant seems to pride themselves in preparing and serving healthy food from a kitchen that is spotless. The owners theory is ""if it looks clean then wash it again"" a wonderful theory when you are serving food to the general public. I'm only sorry I won't be able to eat there again as we won't be in New Orleans long enough! 
However, if you are...don't miss this almost hidden gem! You won't be sorry!!",1.0,1.0,1.0,1.0,0.0,0.0
2hDydyuuw-PXuwKs879iiw,5,"We have tried Sugar and Spice several times and have enjoyed everything we have sampled! So far, our favorites are the drunken noodles and basil fried rice. Portions are large - we usually get at least one dinner and a lunch out of an entree, sometimes two lunches. With the curry dishes, if we make extra rice at home, we can definitely stretch for another leftover meal. All of the dishes, even if you have a meat protein, have a wide variety of vegetables - not just frozen carrots and broccoli often associated with take out. We have always called the order in and picked it up (vs. delivery service)  - our order is always correct and even on a busy night it has always been done within an hour. Will definitely continue to frequent this restaurant!",1.0,1.0,1.0,1.0,1.0,1.0
mXLmvbY1_6qaHt5LP_mvqw,4,"Food is always fresh. Staff pleasant. Nice environment. I visit often. Its consistent. 
Our server Lisa EXCELLENT. If you have never been give it a try.",1.0,1.0,1.0,0.0,0.0,0.0
cPRapYcv0U1nglLMWSomww,5,"Went to Mission BBQ KOP today for lunch with some friends....it was really good food, we all loved it. I had brisket and pulled pork which served Texas Style on Butcher's paper. Tried the KC style and Texas Twang sauces.
One friend enjoyed the sausage; another had beef ribs but wasn't a big fan.. Definitely worth a try.",1.0,1.0,1.0,1.0,0.0,0.0
6lXstas0n6Vbl74yu803jA,4,"Great mojitos!

Only stopped in for drinks during a lay over. Staff is friendly, and the place had a lot of tables.  They had some good deals on food, the drinks were pricey, but what I expect from an airport.

The food looked good, I wish I tried it, but alas we did not have time. If you need somewhere to hang out this is a good place. The bar has outlets for electronic devies.",0.0,1.0,1.0,1.0,-1.0,0.0
oLNg2N6unonRO8z_r-DbCw,4,Really good pizza and great wings!  Had the leftovers for breakfast the next day and it was still good.,1.0,0.0,0.0,0.0,0.0,0.0
hU5TeI1-2n_xKpAvMsC4lQ,5,"This place is one of my go to lunch places. I love the atmosphere. I have yet to have a meal i did not like. 

Tina is the lady working the place. She is very kind and her family works with her. My favorite thing about this place that Tina usually knows what i want to eat before I do. 

Sometimes for meetings we bring in 6-8 person groups. 

Its nice that there are places like this around in the area.",1.0,1.0,1.0,0.0,0.0,0.0
4dWyWvFWAp5j5PwixvikOA,4,"The sushi is really good. Great atmosphere too! But probably this is not a good place a ramen, because the ramen choices are very limited.",1.0,0.0,1.0,-1.0,0.0,0.0
RpDNOG721WI8DjMyXVV2Xg,5,so glad i finally tried this place  been meaning to for a while  i work in the area and stopped in for a late lunch with a colleague  was still pretty crowded but we were seated right away  service and food were great  we had the grill cheese and  pork and prosciutto sandwich with couscous  everything was delicious even the coffee,1.0,1.0,1.0,1.0,0.0,0.0
VmB2RhwSW9KuG2-g91mgeg,5,I went here with a group of my students and colleagues. We had a fantastic experience. We shared a few pizzas and all ordered dessert. I must say this is some of the best pizza I've had in Philly in awhile and the prices are extremely reasonable. I definitely can't wait to go back!,1.0,1.0,1.0,1.0,0.0,0.0
VO7bf9BUZ57m17WGkDuRfA,1,I am not a fan of this place either. BBQ Pork sandwich was very dry and the only smokey  flavor came from the overly sweet sauce. I hate to admit this but I ordered the rib snacker thing (couple bones) and couldent tell if they were pork or beef. The taste was bland and with the weird lighting in there you couldent tell by looking. Guessing boiled spareribs finished in the oven.,-1.0,-1.0,0.0,-1.0,0.0,0.0
flydtc9d3VQfpcLgu3W6pw,5,"This is one of my all time favorite places to go out to eat!! I was first introduced to Mikado about 5 years ago for a friends birthday and since then, I've gone multiple times each year!

The staff is always so nice and welcoming and I love that they take reservations! Sitting at the hibachi seats is always the best experience! The chefs are so talented and fun and I've never had one who didn't make it an awesome experience! No matter how many times I've been there, I always get a smile on my face for the onion volcano!! 

Before COVID, I never mind sitting next to other random parties. However, the last time I went was about a month ago and we still sat with another family. I believe there was 2-3 seats in between us not filled, but I honestly expected 1 party per booth. 

My go to is always steak and shrimp hibachi! I love the miso soup and ginger salad that come with! The hibachi is ALWAYS delicious and full of flavor. I really like the sauces they give you as well!!

I've had sushi here a few times and it was delicious! I believe I've only tried the california roll and the tuna roll. Like I said, 99% of the time I go solely for hibachi.

Overall, love everything about this place and it is such a great experience for families, date nights, birthday parties or anything! Cant wait to go back!",1.0,1.0,-1.0,1.0,0.0,0.0
